date,open,high,low,close,volume
2020-12-31,259.600006,260.459991,257.51001,259.619995,2606000.0
2020-12-30,262.200012,262.679993,258.359985,259.980011,2694100.0
2020-12-29,263.950012,265.450012,259.670013,261.559998,2676600.0
2020-12-28,269.839996,270.100006,261.809998,262.940002,3633100.0
2020-12-24,271.359985,272.02999900000003,267.190002,268.820007,1649400.0
2020-12-23,273.640015,276.640015,270.619995,270.709991,2350800.0
2020-12-22,272.5,273.339996,268.27999900000003,273.27999900000003,3553600.0
2020-12-21,271.660004,273.5,268.51001,271.940002,4989500.0
2020-12-18,283.5,284.519989,274.959991,275.570007,15457100.0
2020-12-17,289.410004,293.899994,286.22000099999997,292.26001,6006900.0
2020-12-16,287.380005,290.850006,286.609985,288.809998,2611800.0
2020-12-15,286.01001,289.459991,283.109985,285.73999,3026400.0
2020-12-14,296.0,296.350006,285.410004,285.540009,2933900.0
2020-12-11,289.77999900000003,291.880005,286.190002,289.47000099999997,2354500.0
2020-12-10,291.26001,294.380005,288.609985,290.899994,2961000.0
2020-12-09,303.5,305.660004,293.459991,295.320007,2644900.0
2020-12-08,298.0,303.649994,297.72000099999997,301.450012,2889100.0
2020-12-07,296.899994,297.040009,293.200012,297.040009,1483400.0
2020-12-04,294.359985,298.980011,293.119995,294.880005,1847700.0
2020-12-03,291.72000099999997,296.339996,289.77999900000003,292.700012,1955800.0
2020-12-02,287.22000099999997,293.839996,285.02999900000003,291.72000099999997,2518000.0
2020-12-01,293.559998,297.660004,287.600006,287.76001,3053800.0
2020-11-30,287.98999,290.899994,280.540009,286.579987,3189000.0
2020-11-27,290.799988,291.200012,285.350006,287.410004,1248000.0
2020-11-25,291.809998,292.77999900000003,286.559998,288.299988,2299600.0
2020-11-24,289.589996,296.079987,285.299988,291.679993,3711400.0
2020-11-23,280.209991,286.399994,280.200012,286.350006,2431600.0
2020-11-20,280.97000099999997,281.660004,276.690002,276.690002,1885500.0
2020-11-19,283.769989,285.0,276.880005,279.850006,2375000.0
2020-11-18,285.700012,289.76001,282.48999,282.5,2874800.0
2020-11-17,281.869995,286.200012,276.899994,285.049988,2816700.0
2020-11-16,273.519989,280.880005,270.420013,279.829987,2474800.0
